"nameSpecie" "K1" "K2" "K3" "K4"
"pan" "Eukaryotes" "Fungi" "Ascomycetes" "Sordariomycetes"
"mgr" "Eukaryotes" "Fungi" "Ascomycetes" "Sordariomycetes"
"fgr" "Eukaryotes" "Fungi" "Ascomycetes" "Sordariomycetes"
"afm" "Eukaryotes" "Fungi" "Ascomycetes" "Eurotiomycetes"
"act" "Eukaryotes" "Fungi" "Ascomycetes" "Eurotiomycetes"
"ppa" "Eukaryotes" "Fungi" "Ascomycetes" "Saccharomycetes"
"cgr" "Eukaryotes" "Fungi" "Ascomycetes" "Saccharomycetes"
"smp" "Eukaryotes" "Fungi" "Ascomycetes" "Sordariomycetes"
"pte" "Eukaryotes" "Fungi" "Ascomycetes" "Dothideomycetes"
"nhe" "Eukaryotes" "Fungi" "Ascomycetes" "Sordariomycetes"
"ssl" "Eukaryotes" "Fungi" "Ascomycetes" "Leotiomycetes"
"ani" "Eukaryotes" "Fungi" "Ascomycetes" "Eurotiomycetes"
"ang" "Eukaryotes" "Fungi" "Ascomycetes" "Eurotiomycetes"
"cim" "Eukaryotes" "Fungi" "Ascomycetes" "Eurotiomycetes"
"abe" "Eukaryotes" "Fungi" "Ascomycetes" "Eurotiomycetes"
"tve" "Eukaryotes" "Fungi" "Ascomycetes" "Eurotiomycetes"
"pno" "Eukaryotes" "Fungi" "Ascomycetes" "Dothideomycetes"
"tml" "Eukaryotes" "Fungi" "Ascomycetes" "Pezizomycetes"
"cci" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"scm" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"spo" "Eukaryotes" "Fungi" "Ascomycetes" "Schizosaccharomycetes"
"cne" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"cnb" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"ppl" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"mpr" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"uma" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"mgl" "Eukaryotes" "Fungi" "Basidiomycetes" NA
"ecu" "Eukaryotes" "Fungi" "Microsporidians" NA
"nce" "Eukaryotes" "Fungi" "Microsporidians" NA
"mbr" "Eukaryotes" "Protists" "Choanoflagellates" NA
"ngr" "Eukaryotes" "Protists" "Amoeboflagellate" NA
"ddi" "Eukaryotes" "Protists" "Amoebozoa" "Dictyostelium"
"ehi" "Eukaryotes" "Protists" "Amoebozoa" "Entamoeba"
"edi" "Eukaryotes" "Protists" "Amoebozoa" "Entamoeba"
"pfa" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"pfd" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"pyo" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"pfh" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"pbe" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"pkn" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"pcb" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"pvx" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"tan" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"tpv" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"bbo" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"cpv" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"cho" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"tgo" "Eukaryotes" "Protists" "Alveolates" "Apicomplexans"
"tet" "Eukaryotes" "Protists" "Alveolates" "Ciliates"
"ptm" "Eukaryotes" "Protists" "Alveolates" "Ciliates"
"tbr" "Eukaryotes" "Protists" "Euglenozoa" "Kinetoplasts"
"tcr" "Eukaryotes" "Protists" "Euglenozoa" "Kinetoplasts"
"lma" "Eukaryotes" "Protists" "Euglenozoa" "Kinetoplasts"
"lif" "Eukaryotes" "Protists" "Euglenozoa" "Kinetoplasts"
"lbz" "Eukaryotes" "Protists" "Euglenozoa" "Kinetoplasts"
"gla" "Eukaryotes" "Protists" "Diplomonads" NA
"tva" "Eukaryotes" "Protists" "Parabasalids" NA
"pti" "Eukaryotes" "Protists" "Diatoms" NA
"tps" "Eukaryotes" "Protists" "Diatoms" NA
"pif" "Eukaryotes" "Protists" "Oomycetes" NA
