"nameSpecie" "K1" "K2" "K3" "K4"
"dka" "Prokaryotes" "Archaea" "Crenarchaeota" "Desulfurococcus"
"dmu" "Prokaryotes" "Archaea" "Crenarchaeota" "Desulfurococcus"
"tag" "Prokaryotes" "Archaea" "Crenarchaeota" "Thermosphaera"
"iag" "Prokaryotes" "Archaea" "Crenarchaeota" "Ignisphaera"
"hbu" "Prokaryotes" "Archaea" "Crenarchaeota" "Hyperthermus"
"pfm" "Prokaryotes" "Archaea" "Crenarchaeota" "Pyrolobus"
"sso" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sis" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sia" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sim" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sid" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"siy" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sin" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sii" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sto" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"sai" "Prokaryotes" "Archaea" "Crenarchaeota" "Sulfolobus"
"mse" "Prokaryotes" "Archaea" "Crenarchaeota" "Metallosphaera"
"mcn" "Prokaryotes" "Archaea" "Crenarchaeota" "Metallosphaera"
"aho" "Prokaryotes" "Archaea" "Crenarchaeota" "Acidianus"
"pai" "Prokaryotes" "Archaea" "Crenarchaeota" "Pyrobaculum"
"pis" "Prokaryotes" "Archaea" "Crenarchaeota" "Pyrobaculum"
"pcl" "Prokaryotes" "Archaea" "Crenarchaeota" "Pyrobaculum"
"pyr" "Prokaryotes" "Archaea" "Crenarchaeota" "Pyrobaculum"
"pog" "Prokaryotes" "Archaea" "Crenarchaeota" "Pyrobaculum"
"pas" "Prokaryotes" "Archaea" "Crenarchaeota" "Pyrobaculum"
"cma" "Prokaryotes" "Archaea" "Crenarchaeota" "Caldivirga"
"tne" "Prokaryotes" "Archaea" "Crenarchaeota" "Thermoproteus"
"tuz" "Prokaryotes" "Archaea" "Crenarchaeota" "Thermoproteus"
"ttn" "Prokaryotes" "Archaea" "Crenarchaeota" "Thermoproteus"
"vdi" "Prokaryotes" "Archaea" "Crenarchaeota" "Vulcanisaeta"
"vmo" "Prokaryotes" "Archaea" "Crenarchaeota" "Vulcanisaeta"
"tpe" "Prokaryotes" "Archaea" "Crenarchaeota" "Thermofilum"
"asc" "Prokaryotes" "Archaea" "Crenarchaeota" "Acidilobus"
"nmr" "Prokaryotes" "Archaea" "Thaumarchaeota" "Nitrosopumilus"
"csy" "Prokaryotes" "Archaea" "Thaumarchaeota" "Cenarchaeum"
"kcr" "Prokaryotes" "Archaea" "Korarchaeota" "Korarchaeum"
